Team,Season,Win_Pct,Is_Champion,Player1_Name,Player1_Degree,Player2_Name,Player2_Degree,Duo_Avg_Degree,Duo_Total_Degree,Duo_Gap,Duo_Concentration,GP,Duo_Avg_Per_Game
HOU,2023-24,0.5,False,Fred VanVleet,9121,Jalen Green,6534,7827.5,15655,2587,0.38610467123760667,73,107.22602739726027
IND,2015-16,0.549,False,George Hill,8452,Monta Ellis,8153,8302.5,16605,299,0.3732802805503102,74,112.19594594594595
IND,2016-17,0.512,False,Jeff Teague,9977,Paul George,5917,7947.0,15894,4060,0.3612765377096877,82,96.91463414634147
IND,2017-18,0.585,False,Darren Collison,7280,Victor Oladipo,6728,7004.0,14008,552,0.3019876686931402,69,101.5072463768116
IND,2018-19,0.585,False,Darren Collison,8010,Cory Joseph,6481,7245.5,14491,1529,0.3156943052590301,76,95.33552631578948
IND,2019-20,0.589,False,Domantas Sabonis,7043,Malcolm Brogdon,6145,6594.0,13188,898,0.3536225666327023,62,106.35483870967742
IND,2020-21,0.472,False,Domantas Sabonis,7881,Malcolm Brogdon,7150,7515.5,15031,731,0.3654865535184555,62,121.21774193548387
IND,2021-22,0.305,False,Tyrese Haliburton,4394,Buddy Hield,3356,3875.0,7750,1038,0.31757089001802985,77,50.324675324675326
IND,2022-23,0.427,False,Tyrese Haliburton,8167,T.J. McConnell,6325,7246.0,14492,1842,0.30733341816176785,56,129.39285714285714
IND,2023-24,0.573,False,Tyrese Haliburton,7917,T.J. McConnell,4996,6456.5,12913,2921,0.338337787559608,69,93.57246376811594
LAC,2015-16,0.646,False,Chris Paul,9837,DeAndre Jordan,4788,7312.5,14625,5049,0.35024906600249067,74,98.81756756756756
LAC,2016-17,0.622,False,Chris Paul,8342,Blake Griffin,6788,7565.0,15130,1554,0.3065359212285749,61,124.01639344262296
LAC,2017-18,0.512,False,Lou Williams,5966,Austin Rivers,5471,5718.5,11437,495,0.315068870523416,79,72.38607594936708
LAC,2018-19,0.585,False,Shai Gilgeous-Alexander,5093,Lou Williams,4801,4947.0,9894,292,0.32591079781276766,82,60.329268292682926
LAC,2019-20,0.681,False,Lou Williams,5296,Kawhi Leonard,4455,4875.5,9751,841,0.3188059896684758,65,75.00769230769231
LAC,2020-21,0.667,False,Paul George,4841,Reggie Jackson,4482,4661.5,9323,359,0.2877646768319032,54,86.32407407407408
LAC,2021-22,0.512,False,Reggie Jackson,6848,Terance Mann,3951,5399.5,10799,2897,0.3410497726124305,75,71.99333333333334
LAC,2022-23,0.537,False,Paul George,4523,Terance Mann,3876,4199.5,8399,647,0.25550620588951084,56,74.99107142857143
LAC,2023-24,0.622,False,James Harden,8339,Paul George,5493,6916.0,13832,2846,0.3607720396452791,72,96.05555555555556
LAL,2015-16,0.207,False,D'Angelo Russell,7808,Jordan Clarkson,6580,7194.0,14388,1228,0.32018871283603345,80,89.925
LAL,2016-17,0.317,False,D'Angelo Russell,6505,Julius Randle,4893,5699.0,11398,1612,0.3185222445785826,63,90.46031746031746
LAL,2017-18,0.427,False,Lonzo Ball,5512,Julius Randle,4483,4997.5,9995,1029,0.3310260316619196,52,96.10576923076923
LAL,2018-19,0.451,False,LeBron James,6581,Rajon Rondo,4894,5737.5,11475,1687,0.2782492725509214,55,104.31818181818181
LAL,2019-20,0.732,True,LeBron James,8763,Anthony Davis,4995,6879.0,13758,3768,0.3745304077965917,67,102.67164179104478
LAL,2020-21,0.583,False,Dennis Schröder,7691,LeBron James,5692,6691.5,13383,1999,0.3206737911534959,61,109.69672131147541
LAL,2021-22,0.402,False,Russell Westbrook,8492,LeBron James,6784,7638.0,15276,1708,0.36800770898578655,78,97.92307692307692
LAL,2022-23,0.524,False,Dennis Schröder,4366,LeBron James,3976,4171.0,8342,390,0.3411581874693277,66,63.196969696969695
LAL,2023-24,0.573,False,LeBron James,7747,D'Angelo Russell,7259,7503.0,15006,488,0.36192175968356566,71,105.67605633802818
MEM,2015-16,0.512,False,Mike Conley,5479,Matt Barnes,3160,4319.5,8639,2319,0.3903750564844103,56,77.13392857142857
MEM,2016-17,0.524,False,Mike Conley,9152,Marc Gasol,7985,8568.5,17137,1167,0.36244236707415084,69,124.18115942028986
MEM,2017-18,0.268,False,Marc Gasol,7684,Tyreke Evans,5186,6435.0,12870,2498,0.3125,73,88.15068493150685
MEM,2018-19,0.402,False,Mike Conley,4778,Delon Wright,3230,4004.0,8008,1548,0.32152894884766725,70,57.2
MEM,2019-20,0.466,False,Ja Morant,6641,Jonas Valančiūnas,4434,5537.5,11075,2207,0.33734389278099297,67,82.64925373134328
MEM,2020-21,0.528,False,Ja Morant,6819,Tyus Jones,4223,5521.0,11042,2596,0.30131528679801345,63,87.63492063492063
MEM,2021-22,0.683,False,Ja Morant,6375,Desmond Bane,6145,6260.0,12520,230,0.2919639942166877,57,109.82456140350877
MEM,2022-23,0.622,False,Tyus Jones,7064,Ja Morant,6725,6894.5,13789,339,0.3292502387774594,80,86.18125
MEM,2023-24,0.329,False,Jaren Jackson Jr.,3572,Santi Aldama,2876,3224.0,6448,696,0.2545397126164535,66,48.84848484848485
MIA,2015-16,0.585,False,Goran Dragic,9506,Dwyane Wade,5938,7722.0,15444,3568,0.3603023516237402,72,107.25
MIA,2016-17,0.5,False,Goran Dragic,8650,James Johnson,5822,7236.0,14472,2828,0.3513986013986014,73,99.12328767123287
MIA,2017-18,0.537,False,Goran Dragic,8973,Josh Richardson,6573,7773.0,15546,2400,0.33387741076414246,75,103.64
MIA,2018-19,0.476,False,Josh Richardson,6103,Justise Winslow,5501,5802.0,11604,602,0.32104913678618857,73,79.47945205479452
MIA,2019-20,0.603,False,Bam Adebayo,6327,Jimmy Butler III,5707,6017.0,12034,620,0.3252432432432432,72,83.56944444444444
MIA,2020-21,0.556,False,Bam Adebayo,5427,Jimmy Butler III,5069,5248.0,10496,358,0.3122322703474536,64,82.0
MIA,2021-22,0.646,False,Kyle Lowry,7884,Tyler Herro,5701,6792.5,13585,2183,0.30844155844155846,63,107.81746031746032
MIA,2022-23,0.537,False,Bam Adebayo,6133,Tyler Herro,5931,6032.0,12064,202,0.2817375058383933,75,80.42666666666666
MIA,2023-24,0.561,False,Bam Adebayo,5339,Jimmy Butler III,4641,4990.0,9980,698,0.27065140749579647,71,70.28169014084507
MIL,2015-16,0.402,False,Giannis Antetokounmpo,7606,Khris Middleton,6483,7044.5,14089,1123,0.30465337542706394,80,88.05625
MIL,2016-17,0.512,False,Giannis Antetokounmpo,8881,Malcolm Brogdon,6503,7692.0,15384,2378,0.35165036115936726,80,96.15
MIL,2017-18,0.537,False,Giannis Antetokounmpo,7852,Eric Bledsoe,7648,7750.0,15500,204,0.3881404317123253,75,103.33333333333333
MIL,2018-19,0.732,False,Giannis Antetokounmpo,7595,Eric Bledsoe,6476,7035.5,14071,1119,0.32490532926941906,72,97.71527777777777
MIL,2019-20,0.767,False,Giannis Antetokounmpo,6278,Khris Middleton,4995,5636.5,11273,1283,0.3016267993792476,63,89.46825396825396
MIL,2020-21,0.639,True,Khris Middleton,5313,Jrue Holiday,5263,5288.0,10576,50,0.37004898530440866,68,77.76470588235294
MIL,2021-22,0.622,False,Jrue Holiday,6376,Giannis Antetokounmpo,5532,5954.0,11908,844,0.3753625015760938,67,88.86567164179104
MIL,2022-23,0.707,False,Jrue Holiday,6787,Giannis Antetokounmpo,5665,6226.0,12452,1122,0.36092753623188406,67,92.92537313432835
MIL,2023-24,0.598,False,Damian Lillard,8465,Giannis Antetokounmpo,7090,7777.5,15555,1375,0.41308158062460165,73,106.54109589041096
MIN,2015-16,0.354,False,Ricky Rubio,9022,Zach LaVine,5377,7199.5,14399,3645,0.3855773350471294,76,94.73026315789474
MIN,2016-17,0.378,False,Ricky Rubio,10059,Karl-Anthony Towns,7083,8571.0,17142,2976,0.39108413944150394,75,114.28
MIN,2017-18,0.573,False,Jeff Teague,8618,Karl-Anthony Towns,7284,7951.0,15902,1334,0.35664304297120303,70,113.58571428571429
MIN,2018-19,0.439,False,Karl-Anthony Towns,6770,Tyus Jones,5953,6361.5,12723,817,0.2938608647450111,77,82.61688311688312
MIN,2019-20,0.292,False,Jordan McLaughlin,1874,D'Angelo Russell,1860,1867.0,3734,14,0.28874110733065267,30,62.233333333333334
MIN,2020-21,0.319,False,Ricky Rubio,6861,Anthony Edwards,5214,6037.5,12075,1647,0.28378378378378377,68,88.78676470588235
MIN,2021-22,0.561,False,D'Angelo Russell,7757,Anthony Edwards,6149,6953.0,13906,1608,0.32128829536527886,65,106.96923076923076
MIN,2022-23,0.512,False,Anthony Edwards,5631,Kyle Anderson,4319,4975.0,9950,1312,0.3155524546492452,79,62.9746835443038
MIN,2023-24,0.683,False,Mike Conley,8038,Anthony Edwards,7348,7693.0,15386,690,0.36210873146622735,76,101.22368421052632
NOP,2015-16,0.366,False,Jrue Holiday,6550,Anthony Davis,4721,5635.5,11271,1829,0.2799552906110283,65,86.7
NOP,2016-17,0.415,False,Jrue Holiday,6686,Anthony Davis,5598,6142.0,12284,1088,0.4322004081345437,67,91.67164179104478
NOP,2017-18,0.585,False,Jrue Holiday,8399,Rajon Rondo,6927,7663.0,15326,1472,0.4011831841264855,81,94.60493827160494
NOP,2018-19,0.402,False,Jrue Holiday,7140,Julius Randle,4943,6041.5,12083,2197,0.31861090602257147,67,90.17164179104478
NOP,2019-20,0.417,False,Lonzo Ball,8091,Jrue Holiday,7049,7570.0,15140,1042,0.33802187988390264,63,120.15873015873017
NOP,2020-21,0.431,False,Lonzo Ball,6377,Brandon Ingram,5120,5748.5,11497,1257,0.30035529546998274,55,104.51818181818182
NOP,2021-22,0.439,False,Devonte' Graham,5736,Jonas Valančiūnas,4914,5325.0,10650,822,0.32374756809338523,76,70.0657894736842
NOP,2022-23,0.512,False,CJ McCollum,8369,Jonas Valančiūnas,4874,6621.5,13243,3495,0.31576061039580355,75,88.28666666666666
NOP,2023-24,0.598,False,CJ McCollum,6593,Zion Williamson,5849,6221.0,12442,744,0.277599286033021,66,94.25757575757575
NYK,2015-16,0.39,False,Jose Calderon,8506,Carmelo Anthony,6625,7565.5,15131,1881,0.27747010929362576,72,105.07638888888889
NYK,2016-17,0.378,False,Derrick Rose,7656,Carmelo Anthony,5220,6438.0,12876,2436,0.3298662704309064,64,100.59375
NYK,2017-18,0.354,False,Jarrett Jack,6194,Frank Ntilikina,5103,5648.5,11297,1091,0.2651504482936676,62,91.10483870967742
NYK,2018-19,0.207,False,Emmanuel Mudiay,4680,Noah Vonleh,3062,3871.0,7742,1618,0.26670800606311146,59,65.61016949152543
NYK,2019-20,0.318,False,Julius Randle,5062,Elfrid Payton,4926,4994.0,9988,136,0.30266666666666664,64,78.03125
NYK,2020-21,0.569,False,Julius Randle,7730,Elfrid Payton,5072,6401.0,12802,2658,0.35582856189893824,71,90.15492957746478
NYK,2021-22,0.451,False,Julius Randle,7537,Alec Burks,6389,6963.0,13926,1148,0.3252978276103714,72,96.70833333333333
NYK,2022-23,0.573,False,Jalen Brunson,8680,Julius Randle,7185,7932.5,15865,1495,0.36387614678899083,68,116.65441176470588
NYK,2023-24,0.61,False,Jalen Brunson,9022,Josh Hart,5498,7260.0,14520,3524,0.39546791589497765,77,94.28571428571429
OKC,2015-16,0.671,False,Russell Westbrook,10111,Kevin Durant,5988,8049.5,16099,4123,0.42394796439669247,80,100.61875
OKC,2016-17,0.573,False,Russell Westbrook,10035,Victor Oladipo,3900,6967.5,13935,6135,0.405629621004832,81,86.01851851851852
OKC,2017-18,0.585,False,Russell Westbrook,10783,Paul George,5723,8253.0,16506,5060,0.4167760832239168,80,103.1625
OKC,2018-19,0.598,False,Russell Westbrook,9453,Dennis Schröder,6300,7876.5,15753,3153,0.41139141335004703,73,107.8972602739726
OKC,2019-20,0.611,False,Chris Paul,7690,Dennis Schröder,7167,7428.5,14857,523,0.3767178863025508,70,106.12142857142857
OKC,2020-21,0.306,False,Theo Maledon,4813,Darius Bazley,2901,3857.0,7714,1912,0.31253545093590474,65,59.33846153846154
OKC,2021-22,0.293,False,Shai Gilgeous-Alexander,6723,Josh Giddey,6058,6390.5,12781,665,0.2814578286720987,56,114.11607142857143
OKC,2022-23,0.488,False,Josh Giddey,7665,Shai Gilgeous-Alexander,6172,6918.5,13837,1493,0.3552868073743132,76,91.03289473684211
OKC,2023-24,0.695,False,Shai Gilgeous-Alexander,7420,Josh Giddey,6075,6747.5,13495,1345,0.3393602575064125,75,89.96666666666667
ORL,2015-16,0.427,False,Elfrid Payton,7077,Victor Oladipo,5513,6295.0,12590,1564,0.32019328585961343,73,86.23287671232876
ORL,2016-17,0.354,False,Elfrid Payton,8154,Nikola Vučević,6146,7150.0,14300,2008,0.36709965600451816,82,87.1951219512195
ORL,2017-18,0.305,False,D.J. Augustin,6477,Shelvin Mack,4608,5542.5,11085,1869,0.3020765206017005,75,73.9
ORL,2018-19,0.512,False,D.J. Augustin,7803,Nikola Vučević,7060,7431.5,14863,743,0.3659575515831979,81,91.74691358024691
ORL,2019-20,0.458,False,Markelle Fultz,6746,Nikola Vučević,5579,6162.5,12325,1167,0.3328202635558436,72,85.59027777777777
ORL,2020-21,0.292,False,Cole Anthony,2520,Chuma Okeke,1838,2179.0,4358,682,0.26064593301435407,47,46.361702127659576
ORL,2021-22,0.268,False,Cole Anthony,7621,Wendell Carter Jr.,4709,6165.0,12330,2912,0.31172574202356274,65,94.84615384615384
ORL,2022-23,0.415,False,Markelle Fultz,5848,Paolo Banchero,5625,5736.5,11473,223,0.3152789227809838,60,95.60833333333333
ORL,2023-24,0.573,False,Paolo Banchero,8247,Franz Wagner,5694,6970.5,13941,2553,0.3221118299445471,80,87.13125
PHI,2015-16,0.122,False,Ish Smith,7392,T.J. McConnell,7239,7315.5,14631,153,0.3102680464840105,77,95.00649350649351
PHI,2016-17,0.341,False,T.J. McConnell,8636,Dario Šarić,6248,7442.0,14884,2388,0.35357278601292286,81,91.87654320987654
PHI,2017-18,0.634,False,Ben Simmons,11838,Dario Šarić,6214,9026.0,18052,5624,0.3566179375740814,81,111.4320987654321
